ccode,year,cap,majpow,imports,exports,polity
 100,1836,0.001424,0,-9,-9,   2
 140,1836,0.007407,0,-9,-9,  -6
 200,1836,0.299511,1,-9,-9,  -2
 210,1836,0.015822,0,-9,-9,  -6
 211,1836,0.030761,0,-9,-9,  -4
 220,1836,0.132152,1,-9,-9,  -1
 225,1836,0.001548,0,-9,-9, -99
 230,1836,0.026519,0,-9,-9, -88
 235,1836,0.013230,0,-9,-9,   1
 245,1836,0.006517,0,-9,-9,  -9
 255,1836,0.052964,1,-9,-9, -10
 267,1836,0.003251,0,-9,-9,  -7
 269,1836,0.003074,0,-9,-9,  -7
 271,1836,0.003187,0,-9,-9,  -4
 273,1836,0.001522,0,-9,-9, -99
 275,1836,0.001275,0,-9,-9, -99
 300,1836,0.080006,1,-9,-9, -10
 325,1836,0.013259,0,-9,-9, -10
 327,1836,0.007783,0,-9,-9,  -9
 329,1836,0.023888,0,-9,-9, -10
 337,1836,0.001804,0,-9,-9, -10
 350,1836,0.001304,0,-9,-9,  -3
 365,1836,0.165743,1,-9,-9, -10
 380,1836,0.015125,0,-9,-9,  -8
 390,1836,0.007285,0,-9,-9,  -9
 616,1836,0.003451,0,-9,-9, -99
 640,1836,0.052113,0,-9,-9, -10
   2,1837,0.053586,0,-9,-9,   9
  70,1837,0.009772,0,-9,-9,  -3
 100,1837,0.001481,0,-9,-9,   2
 140,1837,0.007776,0,-9,-9,  -6
 200,1837,0.300858,1,-9,-9,   3
 210,1837,0.016649,0,-9,-9,  -6
 211,1837,0.033080,0,-9,-9,  -4
 220,1837,0.137433,1,-9,-9,  -1
 225,1837,0.001554,0,-9,-9, -99
 230,1837,0.029942,0,-9,-9,  -1
 235,1837,0.013416,0,-9,-9,   1
 240,1837,0.000390,0,-9,-9, -99
 245,1837,0.006385,0,-9,-9,  -9
 255,1837,0.054875,1,-9,-9, -10
 267,1837,0.002397,0,-9,-9,  -7
 269,1837,0.003999,0,-9,-9,  -7
 271,1837,0.003178,0,-9,-9,  -4
 273,1837,0.001641,0,-9,-9, -99
 275,1837,0.002519,0,-9,-9, -99
 300,1837,0.082077,1,-9,-9, -10
 325,1837,0.013696,0,-9,-9, -10
 327,1837,0.008378,0,-9,-9,  -9
 329,1837,0.023714,0,-9,-9, -10
 337,1837,0.001887,0,-9,-9, -10
 350,1837,0.001629,0,-9,-9,  -3
 365,1837,0.141270,1,-9,-9, -10
 380,1837,0.014731,0,-9,-9,  -8
 390,1837,0.007690,0,-9,-9,  -9
 616,1837,0.003538,0,-9,-9, -99
 640,1837,0.053861,0,-9,-9, -10
   2,1838,0.053273,0,-9,-9,   9
  70,1838,0.009659,0,-9,-9,  -3
